tweet_id,favorites,retweets,timestamp
826476773533745153,18765,4288,Tue Jan 31 17:06:32 +0000 2017
826240494070030336,13530,2652,Tue Jan 31 01:27:39 +0000 2017
826204788643753985,4962,943,Mon Jan 30 23:05:46 +0000 2017
826115272272650244,15938,3202,Mon Jan 30 17:10:04 +0000 2017
825876512159186944,10664,1919,Mon Jan 30 01:21:19 +0000 2017
825829644528148480,12962,2544,Sun Jan 29 22:15:05 +0000 2017
825535076884762624,57846,17881,Sun Jan 29 02:44:34 +0000 2017
825147591692263424,18655,4640,Sat Jan 28 01:04:51 +0000 2017
825120256414846976,0,1294,Fri Jan 27 23:16:13 +0000 2017
825026590719483904,6445,1294,Fri Jan 27 17:04:02 +0000 2017
824796380199809024,0,5617,Fri Jan 27 01:49:15 +0000 2017
824775126675836928,15223,3610,Fri Jan 27 00:24:48 +0000 2017
824663926340194305,10290,1780,Thu Jan 26 17:02:56 +0000 2017
824325613288833024,12041,10732,Wed Jan 25 18:38:36 +0000 2017
824297048279236611,15377,3957,Wed Jan 25 16:45:05 +0000 2017
824025158776213504,4912,609,Tue Jan 24 22:44:42 +0000 2017
823939628516474880,10834,2764,Tue Jan 24 17:04:50 +0000 2017
823719002937630720,0,11475,Tue Jan 24 02:28:08 +0000 2017
823699002998870016,14244,2580,Tue Jan 24 01:08:40 +0000 2017
823581115634085888,13294,2692,Mon Jan 23 17:20:14 +0000 2017
823333489516937216,714,25,Mon Jan 23 00:56:15 +0000 2017
823322678127919110,16060,4127,Mon Jan 23 00:13:17 +0000 2017
823269594223824897,0,10134,Sun Jan 22 20:42:21 +0000 2017
822975315408461824,17680,3537,Sun Jan 22 01:12:59 +0000 2017
822872901745569793,134597,44368,Sat Jan 21 18:26:02 +0000 2017
822859134160621569,13554,2350,Sat Jan 21 17:31:20 +0000 2017
822647212903690241,0,6559,Sat Jan 21 03:29:14 +0000 2017
822610361945911296,15122,3022,Sat Jan 21 01:02:48 +0000 2017
822489057087389700,18548,6559,Fri Jan 20 17:00:46 +0000 2017
